codigo_softland,descripcion,unidad_medida,rubro,prefijo_rubro,subrubro,prefijo_subrubro
1137,MESA DE PLATO DE 20 MM S/AGUJE,UN,TALLER,TAL,FERRETERIA,FER
1138,MESA DE PLATO DE 40 MM S/AGUJE,UN,TALLER,TAL,FERRETERIA,FER
1139,NIPLES GALV.1/2 X 5 CM,UN,TALLER,TAL,CONEXIONES,CON
1140,PINTURA AMARILLO BRILLANTE,LT,TALLER,TAL,PINTURA,PIN
1141,MANGUERA DE FRENOS R6621 DE 1/2 800 mm 3/8 NPT ( RG FRENOS ),UN,TALLER,TAL,MANGUERAS,MAN
1142,MANGUERA DE FRENOS R6641 1000MM 3/8 NPT ( RG FRENOS ),UN,TALLER,TAL,MANGUERAS,MAN
1143,ROSCA C/TUERCA 1/2,UN,TALLER,TAL,FERRETERIA,FER
1144,TEE GALVANIZADA DE 3/4,UN,TALLER,TAL,CONEXIONES,CON
1145,MANGUERAS 1700 MM R2,UN,TALLER,TAL,MANGUERAS,MAN
1146,REVIV.REVIGAL P/CUB.Y TAPIZ.490 CM3,UN,TALLER,TAL,FERRETERIA,FER
1147,AROMATIZANTE PINO SURTIDO,UN,TALLER,TAL,FERRETERIA,FER
1148,"CEPILLO PITA 4,5 CM VIOLIN",UN,TALLER,TAL,CORTE Y ABRASIVOS,CYA
1149,ALARGUES DE BRONCE C/VALVULA DE 15 CM (X 10 UN),UN,TALLER,TAL,FERRETERIA,FER
1150,BIDON JJR BLANCO P/5 LTS,UN,TALLER,TAL,FERRETERIA,FER
1151,A3 VIN.BOTELLA X 120CM CON 12 MR,UN,TALLER,TAL,FERRETERIA,FER
1152,ADAPTADORES 3/8 BSP,UN,TALLER,TAL,CONEXIONES,CON
1153,AUTOPOLISH COLORIN BOT.450CM3 LUSTRADOR,UN,TALLER,TAL,FERRETERIA,FER
1154,BLEM AEROSOL X 440CC,UN,TALLER,TAL,PINTURA,PIN
1155,LINTERNA EVEREADY E250,UN,TALLER,TAL,FERRETERIA,FER
1156,PILAS ENERGIZER BL.4U.E 91,UN,TALLER,TAL,FERRETERIA,FER
1157,PILAS ENERGIZER BL.2U E 95,UN,TALLER,TAL,FERRETERIA,FER
1158,"SUPRABOND ADHESIVO ""GOTITA"" POMO 3GR",UN,TALLER,TAL,FERRETERIA,FER
1159,OFF REPELENTE AERX165CC,UN,TALLER,TAL,FERRETERIA,FER
1160,ALARGUES PARA TUBO DE 3/4 DE 40CM,UN,TALLER,TAL,HIERROS,HIE
1161,LEYENDA PARA CARTEL (CALCO),UN,TALLER,TAL,CALCOS Y CARTELES,CYC
1162,SUPRABONGMASILLA,UN,TALLER,TAL,FERRETERIA,FER
1163,RAID AEROSOL X 440CC.,UN,TALLER,TAL,PINTURA,PIN
1164,TACOS PARA AMARRES / SUJETA RUEDAS,UN,TALLER,TAL,FERRETERIA,FER
1165,"CINTA AMARRE AMARILLA C/GANCHO 50MMX2,50MTS, GANCHO J - 5TN",UN,TALLER,TAL,ZUNCHOS,ZUN
1166,SUPERPOX JUEGO 42CC.,UN,TALLER,TAL,FERRETERIA,FER
